reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2025-10,NAPMNI@USECON,49.4,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,2,retrospective_table
2025-10,NAPMOI@USECON,48.2,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,3,retrospective_table
2025-10,NAPMPI@USECON,58.0,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,8,retrospective_table
2025-10,NAPMVDI@USECON,54.2,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,5,retrospective_table
2025-10,NMFC@SURVEYS,52.0,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2025-11,NAPMC@USECON,48.0,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
2025-11,NAPMEI@USECON,44.1,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,4,retrospective_table
2025-11,NAPMII@USECON,48.5,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,6,retrospective_table
2025-11,NAPMNI@USECON,47.3,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,2,retrospective_table
2025-11,NAPMOI@USECON,51.1,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,3,retrospective_table
2025-11,NAPMPI@USECON,58.5,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,8,retrospective_table
2025-11,NAPMVDI@USECON,49.3,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,5,retrospective_table
2025-11,NMFC@SURVEYS,52.4,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2025-12,NAPMC@USECON,47.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
2025-12,NAPMEI@USECON,44.8,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,4,retrospective_table
2025-12,NAPMII@USECON,45.7,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,6,retrospective_table
2025-12,NAPMNI@USECON,47.4,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,2,retrospective_table
2025-12,NAPMOI@USECON,50.7,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,3,retrospective_table
2025-12,NAPMPI@USECON,58.5,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,8,retrospective_table
2025-12,NAPMVDI@USECON,50.8,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,5,retrospective_table
